,,Medicare Part B Physician/Supplier BESS Data,,,
,,For Calendar Year 2008,,,
,,Code Ranges 20000 - 29999,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,TOTAL,,60,"$60,100.42 ","$47,512.70 "
21175,80'S,,1,$309.49 ,$247.59 
,OTHER,,2,"$2,843.05 ","$2,274.44 "
,TOTAL,,3,"$3,152.54 ","$2,522.03 "
21179,AS,,1,$87.97 ,$70.38 
,OTHER,,9,"$10,802.46 ","$8,641.97 "
,TOTAL,,10,"$10,890.43 ","$8,712.35 "
21180,80'S,,1,$237.59 ,$190.07 
,OTHER,,6,"$8,083.62 ","$6,466.90 "
,TOTAL,,7,"$8,321.21 ","$6,656.97 "
21181,OTHER,,16,"$8,472.90 ","$6,778.32 "
,TOTAL,,16,"$8,472.90 ","$6,778.32 "
21182,AS,,2,$382.38 ,$305.90 
,80'S,,2,$467.36 ,$373.89 
,OTHER,,32,"$42,190.73 ","$33,752.58 "
,TOTAL,,36,"$43,040.47 ","$34,432.37 "
21183,OTHER,,4,"$7,911.95 ","$5,854.46 "
,TOTAL,,4,"$7,911.95 ","$5,854.46 "
21184,OTHER,,4,"$3,895.59 ","$3,116.47 "
,TOTAL,,4,"$3,895.59 ","$3,116.47 "
21188,80'S,,2,$345.75 ,$276.60 
,OTHER,,15,"$16,707.38 ","$13,365.90 "
,TOTAL,,17,"$17,053.13 ","$13,642.50 "
21193,80'S,,1,$92.83 ,$74.26 
,OTHER,,27,"$21,994.12 ","$17,164.77 "
,TOTAL,,28,"$22,086.95 ","$17,239.03 "
21194,80'S,,1,$214.08 ,$171.26 
,OTHER,,10,"$9,246.85 ","$7,397.48 "
,TOTAL,,11,"$9,460.93 ","$7,568.74 "
21195,OTHER,,3,"$2,814.08 ","$2,251.26 "
,TOTAL,,3,"$2,814.08 ","$2,251.26 "
21196,80'S,,26,"$3,636.66 ","$2,829.42 "
,OTHER,,115,"$108,150.85 ","$84,006.67 "
,TOTAL,,141,"$111,787.51 ","$86,836.09 "
21198,80'S,,7,$650.86 ,$520.68 
,OTHER,,132,"$87,622.06 ","$70,097.67 "
,TOTAL,,139,"$88,272.92 ","$70,618.35 "
21199,80'S,,2,$306.02 ,$244.81 
,OTHER,,84,"$70,735.76 ","$55,084.43 "
,TOTAL,,86,"$71,041.78 ","$55,329.24 "
21206,AS,,2,$208.63 ,$166.90 
,80'S,,1,$80.42 ,$64.34 
,OTHER,,10,"$7,411.38 ","$5,929.09 "
,TOTAL,,13,"$7,700.43 ","$6,160.33 "
21208,SG,,2,"$2,204.63 ","$1,763.70 "
,OTHER,,90,"$53,260.95 ","$42,081.15 "
,TOTAL,,92,"$55,465.58 ","$43,844.85 "
21209,80'S,,3,$131.58 ,$105.27 
,OTHER,,25,"$12,338.16 ","$9,600.53 "
,TOTAL,,28,"$12,469.74 ","$9,705.80 "
21210,SG,,3,"$3,589.69 ","$2,871.75 "
,OTHER,,488,"$576,883.30 ","$455,714.11 "
,TOTAL,,491,"$580,472.99 ","$458,585.86 "
21215,OTHER,,516,"$755,200.19 ","$601,320.82 "
