,,,Medicare Part B Physician/Supplier BESS Data,,,,,,,,
,,,For Calendar Year 2008,,,,,,,,
,,,Code Ranges 00100 - 01999,,,,,,,,
,,,,,,,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,,,,
00528,AA,,"5,476","$1,669,802.09 ","$1,325,956.82 ",,,,,,
,AD,,82,"$6,710.28 ","$5,322.25 ",,,,,,
,QK,,"4,780","$741,786.01 ","$587,742.53 ",,,,,,
,QZ,,"1,206","$355,894.33 ","$282,564.74 ",,,,,,
,OTHER,,"4,833","$740,555.54 ","$589,937.73 ",,,,,,
,TOTAL,,"16,377","$3,514,748.25 ","$2,791,524.07 ",,,,,,
00529,AA,,"1,756","$706,483.06 ","$561,096.92 ",,,,,,
,AD,,44,"$3,586.64 ","$2,701.92 ",,,,,,
,QK,,"1,547","$320,656.91 ","$254,803.91 ",,,,,,
,QZ,,310,"$125,040.64 ","$99,598.86 ",,,,,,
,OTHER,,"1,556","$311,319.23 ","$248,462.52 ",,,,,,
,TOTAL,,"5,213","$1,467,086.48 ","$1,166,664.13 ",,,,,,
00530,AA,,"29,478","$6,028,585.06 ","$4,781,468.58 ",,,,,,
,AD,,261,"$26,380.06 ","$20,855.79 ",,,,,,
,QK,,"24,401","$2,493,124.51 ","$1,965,992.26 ",,,,,,
,QZ,,"9,383","$1,785,717.53 ","$1,416,916.79 ",,,,,,
,OTHER,,"32,334","$3,256,116.97 ","$2,582,944.81 ",,,,,,
,TOTAL,,"95,857","$13,589,924.13 ","$10,768,178.23 ",,,,,,
00532,AA,,"50,129","$8,440,569.68 ","$6,685,589.97 ",,,,,,
,AD,,961,"$79,352.99 ","$62,524.37 ",,,,,,
,QK,,"47,163","$3,932,044.97 ","$3,108,919.46 ",,,,,,
,QZ,,"26,250","$4,162,764.81 ","$3,299,061.26 ",,,,,,
,OTHER,,"58,492","$4,868,467.53 ","$3,865,330.94 ",,,,,,
,TOTAL,,"182,995","$21,483,199.98 ","$17,021,426.00 ",,,,,,
00534,AA,,"14,312","$4,328,005.81 ","$3,431,423.21 ",,,,,,
,AD,,114,"$10,581.79 ","$8,458.89 ",,,,,,
,QK,,"12,811","$1,948,145.47 ","$1,538,110.98 ",,,,,,
,QZ,,"4,110","$1,165,662.80 ","$923,469.49 ",,,,,,
,OTHER,,"15,041","$2,251,226.19 ","$1,786,910.74 ",,,,,,
,TOTAL,,"46,388","$9,703,622.06 ","$7,688,373.31 ",,,,,,
00537,AA,,"13,921","$4,496,871.46 ","$3,568,596.85 ",,,,,,
,AD,,148,"$12,097.17 ","$9,666.54 ",,,,,,
,QK,,"12,155","$2,080,159.08 ","$1,644,673.67 ",,,,,,
,QZ,,"3,405","$1,086,704.88 ","$859,868.71 ",,,,,,
,OTHER,,"14,345","$2,395,576.29 ","$1,902,538.37 ",,,,,,
,TOTAL,,"43,974","$10,071,408.88 ","$7,985,344.14 ",,,,,,
