Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - L0100 - L4398,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
L3940,TOTAL,,376,"$28,660.88 ","$22,328.05 "
L3942,TOTAL,,"1,285","$65,594.46 ","$51,347.65 "
L3944,TOTAL,,86,"$6,033.55 ","$4,686.73 "
L3946,TOTAL,,"2,935","$127,081.07 ","$98,860.23 "
L3948,TOTAL,,"1,695","$51,090.29 ","$40,079.15 "
L3950,TOTAL,,385,"$49,194.31 ","$39,009.28 "
L3952,TOTAL,,82,"$10,660.45 ","$8,440.24 "
L3954,TOTAL,,"5,235","$406,797.23 ","$322,700.09 "
L3956,TOTAL,,73,"$6,370.69 ","$5,083.36 "
L3960,TOTAL,,"1,608","$700,610.85 ","$554,747.10 "
L3962,TOTAL,,157,"$58,740.15 ","$46,216.47 "
L3963,TOTAL,,370,"$517,297.35 ","$411,761.90 "
L3964,TOTAL,,213,"$164,301.62 ","$131,233.11 "
L3965,TOTAL,,10,"$6,270.65 ","$4,949.11 "
L3966,TOTAL,,12,"$9,462.99 ","$7,570.39 "
L3968,TOTAL,,19,"$15,587.91 ","$12,470.28 "
L3969,TOTAL,,24,"$10,630.95 ","$8,494.76 "
L3970,TOTAL,,12,"$1,559.43 ","$1,226.95 "
L3972,TOTAL,,2,$323.99 ,$259.20 
L3974,TOTAL,,5,$291.72 ,$233.39 
L3980,TOTAL,,"4,551","$1,026,961.69 ","$810,986.15 "
L3982,TOTAL,,"1,252","$246,779.52 ","$195,990.88 "
L3984,TOTAL,,"2,903","$413,599.15 ","$325,699.54 "
L3985,TOTAL,,342,"$76,431.52 ","$60,623.61 "
L3986,TOTAL,,"1,455","$441,786.49 ","$349,466.75 "
L3995,TOTAL,,"3,806","$101,087.33 ","$80,138.82 "
L3999,TOTAL,,"2,128","$445,644.44 ","$355,197.80 "
